,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
14175,3461,それらの国々でも,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3461.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3461_12367.html,8996.0,short,1980.0
14176,3011,孫悟空の雲,NDC 310 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3011.html,311,著者,新日本出版社,1979（昭和54）年11月20日,https://www.aozora.gr.jp/cards/000311/files/3011_10139.html,4595.0,short,1979.0
14177,2981,第一回日本アンデパンダン展批評,NDC 720 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2981.html,311,著者,新日本出版社,1979（昭和54）年11月20日,https://www.aozora.gr.jp/cards/000311/files/2981_10079.html,4122.0,short,1979.0
14178,3908,「第三新生丸」後日譚について,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3908.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3908_12718.html,247.0,flash,1981.0
14179,4211,大衆闘争についてのノート,NDC 366 916,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4211.html,311,著者,新日本出版社,1981（昭和56）年5月30日,https://www.aozora.gr.jp/cards/000311/files/4211_14790.html,1804.0,flash,1981.0
14180,4186,大正十二年九月一日よりの東京・横浜間大震火災についての記録,NDC 915,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4186.html,311,著者,新日本出版社,1981（昭和56）年5月30日,https://www.aozora.gr.jp/cards/000311/files/4186_14775.html,9600.0,short,1981.0
14181,3841,大切な芽,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3841.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3841_13052.html,1768.0,flash,1981.0
14182,15958,対話,NDC 912,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15958.html,311,著者,新日本出版社,1986（昭和61）年3月20日,https://www.aozora.gr.jp/cards/000311/files/15958_27936.html,8861.0,short,1986.0
14183,3855,宝に食われる,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3855.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3855_13053.html,1808.0,flash,1981.0
14184,3870,竹,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3870.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3870_13054.html,257.0,flash,1981.0
14185,2022,黄昏,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2022.html,311,著者,新日本出版社,1979（昭和54）年6月20日,https://www.aozora.gr.jp/cards/000311/files/2022.html,16138.0,novelette,1979.0
14186,3196,竜田丸の中毒事件,NDC 360,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3196.html,311,著者,新日本出版社,1979（昭和54）年7月20日,https://www.aozora.gr.jp/cards/000311/files/3196_10875.html,1570.0,flash,1979.0
14187,2730,楽しいソヴェトの子供,NDC 915,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2730.html,311,著者,新日本出版社,1980（昭和55）年9月20日,https://www.aozora.gr.jp/cards/000311/files/2730_7431.html,4679.0,short,1980.0
14188,4019,田端の汽車そのほか,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4019.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/4019_13050.html,8544.0,short,1981.0
14189,3885,田端の坂,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3885.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3885_13051.html,1834.0,flash,1981.0
14190,7928,旅人,NDC 912,新字新仮名,https://www.aozora.gr.jp/cards/000311/card7928.html,311,著者,新日本出版社,1981（昭和56）年12月25日初版,https://www.aozora.gr.jp/cards/000311/files/7928_34412.html,3255.0,shortshort,1981.0
14191,15948,旅へ出て,NDC 915,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15948.html,311,著者,新日本出版社,1981（昭和56）年11月25日,https://www.aozora.gr.jp/cards/000311/files/15948_35912.html,6348.0,short,1981.0
14192,3894,『田村俊子・野上弥生子・中條百合子集』の序詞,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3894.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3894_13055.html,74.0,flash,1981.0
